canonical_sku,w,h,d,keyword,source,raw_desc
DCW2442,24,42,12,WALL_DIAGONAL_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Diagonal Corner Cabinet - 24""W X 42""H X 12""D With 1 Door And 2 Shelf"
DCW2742,27,42,15,WALL_DIAGONAL_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Diagonal Corner Cabinet - 27""W X 42""H X 15""D With 1 Door And 2 Shelf"
DCW2736,27,36,15,WALL_DIAGONAL_CORNER,LOVE_MILESTONE,"Shaker Gray - Wall Diagonal Corner Cabinet - 27""W X 36""H X 15""D With 1 Door And 2 Shelf"
DCW2412GD,24,12,12,WALL,LOVE_MILESTONE,"Shaker Gray - Diagonal Corner Wall Glass Door - 24""W X 12""H X 12""D *Clear Glass Included"
DCW2712GD,27,12,15,WALL,LOVE_MILESTONE,"Shaker Gray - Diagonal Corner Wall Glass Door - 27""W X 12""H X 15""D *Clear Glass Included"
DCW2430GD,24,30,12,WALL,LOVE_MILESTONE,"Shaker Gray - Diagonal Corner Wall Glass Door - 24""W X 30""H X 12""D With 1 Door And 2 Shelf *Clear Glass Included"
DCW2436GD,24,36,12,WALL,LOVE_MILESTONE,"Shaker Gray - Diagonal Corner Wall Glass Door - 24""W X 36""H X 12""D With 1 Door And 2 Shelf *Clear Glass Included"
DCW2442GD,24,42,12,WALL,LOVE_MILESTONE,"Shaker Gray - Diagonal Corner Wall Glass Door - 24""W X 42""H X 12""D With 1 Door And 2 Shelf *Clear Glass Included"
MO3030,30,30,12,WALL,LOVE_MILESTONE,"Shaker Gray - Microwave Wall Cabinet - 30""W X 30""H X 12""D"
MO3036,30,36,12,WALL,LOVE_MILESTONE,"Shaker Gray - Microwave Wall Cabinet - 30""W X 36""H X 12""D"
MO3042,30,42,12,WALL,LOVE_MILESTONE,"Shaker Gray - Microwave Wall Cabinet - 30""W X 42""H X 12""D"
OE630,6,30,12,SHELF,LOVE_MILESTONE,"Shaker Gray - Open End Shelf - 6""W X 30""H X 12""D With 3 Shelf"
OE636,6,36,12,SHELF,LOVE_MILESTONE,"Shaker Gray - Open End Shelf - 6""W X 36""H X 12""D With 3 Shelf"
OE642,6,42,12,SHELF,LOVE_MILESTONE,"Shaker Gray - Open End Shelf - 6""W X 42""H X 12""D With 4 Shelf"
PR3015,30,15,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall Plate Rack Cabinet - 30""W X 15""H X 12""D"
WRC3015,30,15,12,WALL_WINE_RACK,LOVE_MILESTONE,"Shaker Gray - Wall Wine Rack Cabinet - 30""W X 15""H X 12""D"
